,Player,Team,Number,Position,Height,Weight,Last Attended,Country
574,Grant Williams,CHA,2,F,6-6,236 lbs,Tennessee,USA
575,Jalen Williams,OKC,8,G-F,6-5,211 lbs,Santa Clara,USA
576,Jaylin Williams,OKC,6,F,6-9,240 lbs,Arkansas,USA
577,Jaylin Williams,DEN,,F,6-8,245 lbs,Auburn,USA
578,Kenrich Williams,OKC,34,G-F,6-6,210 lbs,TCU,USA
579,Malik Williams,TOR,,C,6-11,250 lbs,Louisville,USA
580,Mark Williams,CHA,5,C,7-0,240 lbs,Duke,USA
581,Nate Williams,HOU,19,G,6-5,205 lbs,Buffalo,USA
582,Patrick Williams,CHI,44,F,6-7,215 lbs,Florida State,USA
583,Ziaire Williams,BKN,1,F,6-9,185 lbs,Stanford,USA
584,Robert Williams III,POR,35,C-F,6-9,249 lbs,Texas A&M,USA
585,Vince Williams Jr.,MEM,5,G,6-4,205 lbs,Virginia Commonwealth,USA
586,Zion Williamson,NOP,1,F,6-6,284 lbs,Duke,USA
587,Jalen Wilson,BKN,22,F,6-6,220 lbs,Kansas,USA
588,Dylan Windler,ATL,20,G-F,6-7,196 lbs,Belmont,USA
589,James Wiseman,IND,13,C,6-11,240 lbs,Memphis,USA
590,Isaiah Wong,IND,21,G,6-3,185 lbs,Miami,USA
591,Christian Wood,LAL,35,F,6-8,214 lbs,UNLV,USA
592,Delon Wright,MIL,4,G,6-5,185 lbs,Utah,USA
593,Jahmir Young,DEN,,G,6-1,185 lbs,Maryland,USA
594,Thaddeus Young,PHX,30,F,6-8,225 lbs,Georgia Tech,USA
595,Trae Young,ATL,11,G,6-1,164 lbs,Oklahoma,USA
596,Cody Zeller,ATL,40,F-C,6-11,240 lbs,Indiana,USA
597,Ivica Zubac,LAC,40,C,7-0,240 lbs,Mega Basket,Croatia
