Unnamed: 0,Player,Team,Number,Position,Height
169,AnthonyGill,WAS,16,F,80
170,CollinGillespie,DEN,21,G,73
172,RudyGobert,MIN,27,C,85
173,JordanGoodwin,WAS,7,G,75
174,AaronGordon,DEN,50,F,80
175,EricGordon,LAC,10,G,75
176,Devonte'Graham,SAS,4,G,73
177,JeramiGrant,POR,9,F,80
178,RaiQuanGray,BKN,0,F,79
179,AJGreen,MIL,20,G,77
180,DannyGreen,CLE,14,G,78
181,DraymondGreen,GSW,23,F,78
182,JaMychalGreen,GSW,1,F-C,81
183,JalenGreen,HOU,4,G,76
184,JavonteGreen,CHI,24,G,77
185,JeffGreen,DEN,32,F,80
186,JoshGreen,DAL,8,G,79
187,AJGriffin,ATL,14,F,78
188,BlakeGriffin,BOS,91,F,81
189,QuentinGrimes,NYK,6,G,77
190,RuiHachimura,LAL,28,F,80
191,TyreseHaliburton,IND,0,G,77
193,R.J.Hampton,DET,14,G,76
194,TimHardaway Jr.,DAL,11,G-F,77
195,JamesHarden,PHI,1,G,77
196,JadenHardy,DAL,3,G,75
197,RonHarper Jr.,TOR,8,F,77
198,MontrezlHarrell,PHI,5,F-C,79
199,GaryHarris,ORL,14,G,76
200,JoeHarris,BKN,12,G-F,78
201,KevonHarris,ORL,7,G,78
202,TobiasHarris,PHI,12,F,79
203,ShaquilleHarrison,LAL,0,G,76
204,JoshHart,NYK,3,G,76
205,IsaiahHartenstein,NYK,55,C-F,84
206,UdonisHaslem,MIA,40,F,79
207,SamHauser,BOS,30,F,79
208,JaxsonHayes,NOP,10,C-F,84
209,KillianHayes,DET,7,G,77
210,GordonHayward,CHA,20,F,79
212,WillyHernangomez,NOP,9,C-F,83
213,TylerHerro,MIA,14,G,77
214,BuddyHield,IND,24,G,76
215,HaywoodHighsmith,MIA,24,F,77
216,GeorgeHill,IND,7,G,76
218,AaronHoliday,ATL,3,G,72
219,JrueHoliday,MIL,21,G,77
220,JustinHoliday,DAL,0,F-G,78
221,RichaunHolmes,SAC,22,F,80
222,ChetHolmgren,OKC,7,C-F,85
223,AlHorford,BOS,42,C-F,81
224,TalenHorton-Tucker,UTA,0,G,76
225,DanuelHouse Jr.,PHI,25,F-G,78
226,CalebHoustan,ORL,2,G,80
227,TrevorHudgins,HOU,12,G,72
228,KevinHuerter,SAC,9,G-F,79
229,JayHuff,WAS,34,C,85
230,De'AndreHunter,ATL,12,F-G,80
231,BonesHyland,LAC,5,G,74
233,AndreIguodala,GSW,9,G-F,78
234,JoeIngles,MIL,7,F-G,81
235,BrandonIngram,NOP,14,F,80
236,KyrieIrving,DAL,2,G,74
237,JonathanIsaac,ORL,1,F,82
238,JadenIvey,DET,23,G,76
240,IsaiahJackson,IND,22,F,81
242,QuentonJackson,WAS,29,G,77
243,ReggieJackson,DEN,7,G,74
244,JarenJackson Jr.,MEM,13,F-C,82
245,LeBronJames,LAL,6,F,81
246,DaQuanJeffries,NYK,8,G-F,77
247,TyJerome,GSW,10,G-F,77
248,IsaiahJoe,OKC,11,G,75
250,CameronJohnson,BKN,2,F,80
251,JalenJohnson,ATL,1,F,80
252,JamesJohnson,IND,16,F,79
253,KeldonJohnson,SAS,3,F-G,77
254,KeonJohnson,POR,6,G,75
256,NikolaJokic,DEN,15,C,83
257,CarlikJones,CHI,22,G,72
258,DamianJones,UTA,15,C,83
259,HerbertJones,NOP,5,F,79
260,KaiJones,CHA,23,C-F,83
261,TreJones,SAS,33,G,73
262,TyusJones,MEM,21,G,74
263,DerrickJones Jr.,CHI,5,F,78
264,DeAndreJordan,DEN,6,C,83
265,CoryJoseph,DET,18,G,75
266,NikolaJovic,MIA,5,F,82
267,JohnnyJuzang,UTA,33,G,78
268,MfionduKabengele,BOS,28,C,82
269,FrankKaminsky,HOU,33,F-C,84
270,TrevorKeels,NYK,3,G,76
271,LukeKennard,MEM,10,G,77
272,WalkerKessler,UTA,24,C,84
274,LouisKing,PHI,23,F,79
275,CoreyKispert,WAS,24,F,78
276,MaxiKleber,DAL,42,F,82
277,NathanKnight,MIN,13,F-C,80
278,KevinKnox II,POR,11,F,79
279,ChristianKoloko,TOR,35,C,84
280,JohnKonchar,MEM,46,G,77
281,FurkanKorkmaz,PHI,30,G-F,79
282,LukeKornet,BOS,40,C-F,86
283,VitKrejci,ATL,27,G,80
284,JonathanKuminga,GSW,0,F,79
285,KyleKuzma,WAS,33,F,81
286,JakeLaRavia,MEM,3,F,79
287,ZachLaVine,CHI,8,G,77
288,AnthonyLamb,GSW,40,F,78
289,JockLandale,PHX,11,C,83
290,RomeoLangford,SAS,35,G-F,77
291,A.J.Lawson,DAL,9,G,78
292,CarisLeVert,CLE,3,G,78
293,DamionLee,PHX,10,G-F,77
294,SabenLee,PHX,38,G,74
295,AlexLen,SAC,25,C,86
296,KawhiLeonard,LAC,2,F,79
297,MeyersLeonard,MIL,3,F-C,84
298,JustinLewis,CHI,34,F,79
299,KiraLewis Jr.,NOP,13,G,73
300,E.J.Liddell,NOP,32,F,78
301,DamianLillard,POR,0,G,74
302,NassirLittle,POR,10,F-G,77
303,IsaiahLivers,DET,12,F,78
304,KennethLofton Jr.,MEM,6,F,78
305,KevonLooney,GSW,5,F,81
306,BrookLopez,MIL,11,C,85
307,RobinLopez,CLE,33,C,84
308,KevinLove,MIA,0,F-C,80
309,KyleLowry,MIA,7,G,72
310,TreyLyles,SAC,41,F,81
311,TheoMaledon,CHA,9,G,77
312,SandroMamukelashvili,SAS,54,F-C,82
313,TeranceMann,LAC,14,G-F,77
314,TreMann,OKC,23,G,75
315,BobanMarjanovic,HOU,51,C,88
316,LauriMarkkanen,UTA,23,F-C,84
317,NajiMarshall,NOP,8,F,79
318,CalebMartin,MIA,16,F,77
319,CodyMartin,CHA,11,F,78
320,TyreseMartin,ATL,22,G,78
321,KenyonMartin Jr.,HOU,6,F,79
322,GarrisonMathews,ATL,25,G,78
323,BennedictMathurin,IND,0,G-F,77
324,WesleyMatthews,MIL,23,G,77
325,TyreseMaxey,PHI,0,G,74
327,MilesMcBride,NYK,2,G,74
328,MacMcClung,PHI,9,G,74
329,CJMcCollum,NOP,3,G,75
330,T.J.McConnell,IND,9,G,73
331,JadenMcDaniels,MIN,3,F,81
332,JalenMcDaniels,PHI,7,F-C,81
333,DougMcDermott,SAS,17,F,78
334,JaValeMcGee,DAL,0,C-F,84
335,BryceMcGowens,CHA,7,G,78
336,RodneyMcGruder,DET,17,G,76
337,JordanMcLaughlin,MIN,6,G,72
338,De'AnthonyMelton,PHI,8,G,74
339,SamMerrill,CLE,20,G,76
340,ChimezieMetu,SAC,7,F-C,81
341,KhrisMiddleton,MIL,22,F,79
342,PattyMills,BKN,8,G,72
343,ShakeMilton,PHI,18,G-F,77
345,JoshMinott,MIN,8,F,80
346,DavionMitchell,SAC,15,G,72
347,DonovanMitchell,CLE,45,G,73
348,EvanMobley,CLE,4,C,83
349,IsaiahMobley,CLE,15,F,80
351,MalikMonk,SAC,0,G,75
352,MosesMoody,GSW,4,G,77
353,XavierMoon,LAC,15,G,72
354,WendellMoore Jr.,MIN,7,G,77
355,JaMorant,MEM,12,G,74
356,MarkieffMorris,DAL,13,F,81
357,MonteMorris,WAS,22,G,74
358,MarcusMorris Sr.,LAC,8,F,80
359,TreyMurphy III,NOP,25,F,80
360,DejounteMurray,ATL,5,G,77
361,JamalMurray,DEN,27,G,76
362,KeeganMurray,SAC,13,F,80
363,MikeMuscala,BOS,57,F-C,83
364,SviMykhailiuk,CHA,17,G-F,79
365,LarryNance Jr.,NOP,22,F-C,80
366,AndrewNembhard,IND,2,G-F,75
367,AaronNesmith,IND,23,G-F,77
368,RaulNeto,CLE,19,G,74
369,GeorgesNiang,PHI,20,F,79
370,DaishenNix,HOU,15,G,76
371,ZekeNnaji,DEN,22,F-C,81
373,JaylenNowell,MIN,4,G,76
374,FrankNtilikina,DAL,21,G,76
375,KendrickNunn,WAS,20,G,75
376,JusufNurkic,POR,27,C,84
377,JordanNwora,IND,13,F,81
378,RoyceO'Neale,BKN,0,F,78
379,ChumaOkeke,ORL,3,F,80
380,JoshOkogie,PHX,2,G,76
381,OnyekaOkongwu,ATL,17,F-C,81
382,IsaacOkoro,CLE,35,F-G,77
384,VictorOladipo,MIA,4,G,75
385,KellyOlynyk,UTA,41,F-C,83
386,EugeneOmoruyi,DET,97,F,78
387,CediOsman,CLE,16,F,79
388,KellyOubre Jr.,CHA,12,F-G,78
389,ChrisPaul,PHX,3,G,72
390,CameronPayne,PHX,15,G,73
391,GaryPayton II,GSW,8,G,74
392,TheoPinson,DAL,1,G-F,79
393,ScottyPippen Jr.,LAL,14,G,73
394,MasonPlumlee,LAC,44,F-C,84
395,JakobPoeltl,TOR,19,C,85
396,AleksejPokusevski,OKC,17,F,84
397,JordanPoole,GSW,3,G,76
398,KevinPorter Jr.,HOU,3,G-F,76
399,MichaelPorter Jr.,DEN,1,F,82
400,OttoPorter Jr.,TOR,32,F,80
401,BobbyPortis,MIL,9,F,83
402,KristapsPorzingis,WAS,6,F-C,87
403,MicahPotter,UTA,25,C,80
404,DwightPowell,DAL,7,F-C,82
405,NormanPowell,LAC,24,G,76
406,JasonPreston,LAC,17,G,75
408,TaureanPrince,MIN,12,F,78
409,PaytonPritchard,BOS,11,G,73
411,NeemiasQueta,SAC,88,C,84
412,ImmanuelQuickley,NYK,5,G,74
413,LesterQuinones,GSW,25,G,76
414,JuliusRandle,NYK,30,F-C,80
415,AustinReaves,LAL,15,G,77
416,CamReddish,POR,5,F-G,79
418,PaulReed,PHI,44,F,81
419,NazReid,MIN,11,C-F,81
420,JaredRhoden,DET,8,G,78
421,NickRichards,CHA,4,C,84
422,JoshRichardson,NOP,2,G,78
423,AustinRivers,MIN,25,G,76
424,DuncanRobinson,MIA,55,F,79
425,MitchellRobinson,NYK,23,C-F,84
426,OrlandoRobinson,MIA,25,C,82
427,JeremiahRobinson-Earl,OKC,50,F,80
428,IsaiahRoby,NYK,18,F,80
429,DavidRoddy,MEM,27,F,76
430,RyanRollins,GSW,2,G,75
431,DerrickRose,NYK,4,G,75
432,TerrenceRoss,PHX,8,G-F,79
433,TerryRozier,CHA,3,G,73
434,RickyRubio,CLE,13,G,74
435,D'AngeloRussell,LAL,1,G,76
436,MattRyan,MIN,37,F,78
437,DomantasSabonis,SAC,10,F-C,85
438,LukaSamanic,UTA,19,F,82
439,DarioSaric,OKC,9,F-C,82
440,OlivierSarr,OKC,30,C,83
442,AdmiralSchofield,ORL,25,F,77
443,DennisSchroder,LAL,17,G,73
444,JayScrubb,ORL,0,G,77
445,DereonSeabron,NOP,0,G,77
446,AlperenSengun,HOU,28,C,83
447,CollinSexton,UTA,2,G,74
448,LandryShamet,PHX,14,G,76
449,Day'RonSharpe,BKN,20,C,81
450,ShaedonSharpe,POR,17,G,77
451,PascalSiakam,TOR,43,F,80
453,BenSimmons,BKN,10,G-F,82
454,KobiSimmons,CHA,23,G,77
455,MarkoSimonovic,CHI,19,C,84
456,AnferneeSimons,POR,1,G,75
457,JerichoSims,NYK,45,C,82
458,MarcusSmart,BOS,36,G,76
459,DruSmith,BKN,9,G,75
460,IshSmith,DEN,14,G,72
461,JalenSmith,IND,25,F-C,81
462,DennisSmith Jr.,CHA,8,G,74
463,JabariSmith Jr.,HOU,1,F,83
464,XavierSneed,CHA,19,F,77
465,JeremySochan,SAS,10,F,80
466,JadenSpringer,PHI,11,G,76
467,LamarStevens,CLE,8,F,78
468,IsaiahStewart,DET,28,F-C,80
469,MaxStrus,MIA,31,G-F,77
470,JalenSuggs,ORL,4,G,77
471,EdmondSumner,BKN,4,G,76
472,ColeSwider,LAL,20,F,81
473,Jae'SeanTate,HOU,8,F,77
474,JaysonTatum,BOS,0,F-G,80
475,TerryTaylor,CHI,32,F,76
476,GarrettTemple,NOP,41,G-F,78
477,DalenTerry,CHI,25,F,79
478,DanielTheis,IND,27,F-C,80
479,CamThomas,BKN,24,G,75
480,KlayThompson,GSW,11,G,78
481,TristanThompson,LAL,9,C-F,81
482,JTThor,CHA,21,F,81
483,MatisseThybulle,POR,4,G-F,77
484,XavierTillman,MEM,2,F,79
485,IsaiahTodd,WAS,14,F,81
486,ObiToppin,NYK,1,F,81
487,JuanToscano-Anderson,UTA,95,F,78
488,Karl-AnthonyTowns,MIN,32,C-F,84
489,GaryTrent Jr.,TOR,33,G-F,77
490,P.J.Tucker,PHI,17,F,77
491,MylesTurner,IND,33,C-F,83
493,JonasValanciunas,NOP,17,C,83
494,FredVanVleet,TOR,23,G,72
495,JarredVanderbilt,LAL,2,F,80
496,DevinVassell,SAS,24,G-F,77
497,GabeVincent,MIA,2,G,74
499,NikolaVucevic,CHI,9,C,82
500,DeanWade,CLE,32,F-C,81
501,FranzWagner,ORL,22,F,82
502,MoritzWagner,ORL,21,F-C,83
503,IshWainright,PHX,12,F,77
504,JabariWalker,POR,34,F,79
506,LonnieWalker IV,LAL,4,G-F,76
508,T.J.Warren,PHX,21,F,80
509,P.J.Washington,CHA,25,F,79
510,DuaneWashington Jr.,NYK,4,G,74
511,TyTyWashington Jr.,HOU,0,G,75
512,YutaWatanabe,BKN,18,G-F,80
513,LindyWaters III,OKC,12,F,78
514,TrendonWatford,POR,2,F,80
515,PeytonWatson,DEN,8,G,79
516,BlakeWesley,SAS,14,G,76
517,RussellWestbrook,LAC,0,G,75
518,CobyWhite,CHI,0,G,77
519,DerrickWhite,BOS,9,G,76
520,JackWhite,DEN,10,F,79
521,JoeWieskamp,TOR,11,G-F,78
522,AaronWiggins,OKC,21,G,77
523,AndrewWiggins,GSW,22,F,79
524,LindellWigginton,MIL,28,G,73
527,GrantWilliams,BOS,12,F,78
528,JalenWilliams,OKC,8,G-F,77
529,JaylinWilliams,OKC,6,F,81
530,JeenathanWilliams,POR,49,G,77
531,KenrichWilliams,OKC,34,G-F,78
532,MarkWilliams,CHA,5,C,84
533,PatrickWilliams,CHI,44,F,79
534,ZiaireWilliams,MEM,8,F,81
535,RobertWilliams III,BOS,44,C-F,81
536,VinceWilliams Jr.,MEM,5,G,76
537,ZionWilliamson,NOP,1,F,78
538,DylanWindler,CLE,9,G-F,79
539,JustiseWinslow,POR,26,F-G,78
540,JamesWiseman,DET,13,C,84
541,ChristianWood,DAL,35,F,81
542,DelonWright,WAS,55,G,77
543,McKinleyWright IV,DAL,23,G,71
544,GabeYork,IND,32,G,75
545,ThaddeusYoung,TOR,21,F,80
546,TraeYoung,ATL,11,G,73
547,OmerYurtseven,MIA,77,C,83
548,CodyZeller,MIA,44,F-C,83
549,IvicaZubac,LAC,40,C,84
